competent,incompetent
competitive,uncompetitive
intelligent,unintelligent
intelligence,stupid
able,unable
educated,uneducated
rational,irrational
creative,uncreative
capable,incapable
practical,impractical
imaginative,unimaginative
shrewd,foolish
undiscriminating,discriminating
clever,maladroit
folly,wisdom
wise,unwise
efficient,inefficient
effective,ineffective
logical,illogical
ability,inability
fearlessness,fear
assertiveness,unassertiveness
assertive,unassertive
secure,insecure
striver,lazy
active,inactive
determined,doubtful
independent,dependent
persistent,sporadic
energetic,lethargic
ambitious,unambitious
dedicated,undedicated
motivated,unmotivated
resilient,nonresilient
dominant,submissive
dominance,submission
competence,incompetence
skill,dumb
skillfull,dumbness
critical,naive
insightful,unperceptive
brilliant,inept
confidence,diffident
striving,apathy
industrious,unenterprising
aggressive,negligent
cautious,impulsive
unwavering,wavering
daring,unadventurous
conscientious,careless
untroubled,troubled
sociability,unsociability
sociable,unsociable
friendliness,unfriendliness
friendly,unfriendly
warm,cold
warmth,coldness
likable,unlikable
pleasant,unpleasant
liked,disliked
outgoing,shy
sensitive,insensitive
affectionate,unaffectionate
caring,uncaring
sympathetic,unsympathetic
helpful,unhelpful
supportive,unsupportive
polite,impolite
social,antisocial
funny,boring
popular,unpopular
nice,nasty
agreeable,disagreeable
hospitable,inhospitable
thoughtful,inconsiderate
moral,immoral
trustworthy,trustworthiness
sincere,insincere
honest,dishonest
egoistic,altruistic
selfless,selfish
benevolent,threat
softhearted,hardhearted
loyal,disloyal
fair,unfair
tolerant,intolerant
tolerance,intolerance
good,bad
kind,unkind
right,wrong
kindness,mean
honorable,dishonorable
incorrupt,corrupt
innocent,criminal
amicable,hostile
genuine,fake
truthful,untruthful
cooperative,uncooperative
responsible,irresponsible
unprejudiced,prejudiced
