varianles,Evaluation,Potency,Activity
good_bad,0.13834,0.03191,-0.01034
large_small,-0.01165,0.07378,0.03579
beautiful_~y,0.11298,-0.0704,0.16454
yellow_blue,-0.0099,0.02458,0.04837
hard_soft,-0.00188,0.14068,0.04589
sweet_sour,0.06894,-0.06364,0.23084
strong_weak,0.08867,0.19514,0.04336
clean_dirty,0.08448,0.00046,-0.19705
high_low,0.01633,0.09833,0.08871
calm_agita~d,0.04045,-0.04482,-0.18444
tasty_dist~l,0.07824,-0.00828,0.0419
valuable_w~s,0.05132,0.0932,0.03119
red_green,-0.01231,0.03919,0.02775
young_old,0.00739,0.0099,0.00186
kind_cruel,0.05672,0.00405,-0.02618
loud_soft,-0.01982,0.10237,0.10182
deep_shallow,0.01106,0.1368,-0.06046
pleasant_u~t,0.17135,-0.13527,0.02981
black_white,-0.01559,0.04803,-0.04007
bitter_sweet,-0.09722,0.16257,-0.14569
happy_sad,0.07124,0.02435,-0.04005
sharp_dull,0.03098,0.11299,-0.05453
empty_full,-0.03738,-0.06517,-0.02911
ferocious_~l,-0.0274,0.10393,0.09092
heavy_light,-0.01254,0.04796,-0.0013
wet_dry,-0.00929,0.0252,0.10156
sacred_pro~e,0.02686,0.00939,-0.02688
relaxed_te~e,0.05173,-0.06691,-0.01065
brave_cowa~y,0.0523,0.04576,-0.04071
long_short,0.01171,0.05456,-0.01091
rich_poor,0.04982,0.0377,0.08307
clear_hazy,0.01548,0.06125,-0.02964
hot_cold,0.02429,0.017,0.02145
thick_thin,0.00213,0.07946,0.0679
nice_awful,0.09934,-0.00748,0.08145
bright_dark,0.03976,-0.00936,0.0135
bass_treble,-0.00434,-0.00278,0.07005
angular_ro~d,-0.01114,-0.04316,0.07264
fragrant_f~l,0.03437,-0.04793,0.04155
honest_dis~t,0.07538,0.04912,-0.11456
active_pas~e,0.0328,0.08848,-0.02232
rough_smooth,-0.0508,0.04302,0.04676
fresh_stale,0.09649,0.07828,-0.09783
fast_slow,0.03358,0.04349,0.12657
fair_unfair,0.06407,0.03064,-0.04816
rugged_del~e,0.00067,0.00948,0.00965
near_far,-0.00897,-0.01081,0.01994
pungent_bl~d,0.0128,0.12266,0.07968
healthy_sick,0.08358,-0.00547,-0.1634
wide_narrow,0.02438,0.03426,-0.00463
