Date	Average_WCE	Average_CA
2019-12-01	0.0120	0.0483
2019-12-02	-0.0548	-0.2435
2019-12-03	0.2124	0.0146
2019-12-04	0.2202	0.0915
2019-12-05	0.2317	0.2741
2019-12-06	-0.5240	-0.2806
2019-12-07	0.2073	-0.4415
2019-12-08	0.1314	0.3322
2019-12-09	0.2959	0.4234
2019-12-10	0.1587	-0.1588
2019-12-11	0.4038	-0.2426
2019-12-12	0.1598	-0.0965
2019-12-13	0.4403	-0.7322
2019-12-14	-0.3235	0.4275
2019-12-16	0.2463	0.0735
2019-12-17	0.0669	0.0957
2019-12-18	0.3850	-0.1119
2019-12-19	0.2042	-0.0109
2019-12-20	-0.0970	-0.4505
2019-12-21	-0.0303	-0.2458
2019-12-22	0.1856	-0.9688
2019-12-23	0.2391	-0.1323
2019-12-24	-0.0042	0.3424
2019-12-25	-0.0775	-0.3775
2019-12-26	0.3270	-0.1366
2019-12-27	-0.2010	-0.0415
2019-12-28	-0.0722	0.2877
2019-12-29	-0.1581	-0.2932
2019-12-30	0.1192	0.2455
2019-12-31	-0.2107	0.0196
2020-01-01	0.3243	0.1450
2020-01-02	0.5131	0.2764
2020-01-03	-0.0339	-0.1965
2020-01-05	-0.1737	0.0697
2020-01-06	-0.2851	-0.0303
2020-01-07	0.4207	0.2770
2020-01-08	-0.0566	-0.1499
2020-01-09	0.2423	-0.1043
2020-01-10	0.1085	-0.1154
2020-01-11	0.5891	-0.0318
2020-01-12	0.1429	-0.1018
2020-01-13	0.2652	0.1427
2020-01-14	0.1885	-0.0820
2020-01-15	0.1300	0.3979
2020-01-16	0.3705	0.0544
2020-01-17	0.0822	0.1513
2020-01-18	0.1443	-0.3299
2020-01-19	nan	nan
2020-01-20	0.3879	0.0367
2020-01-21	0.4987	-0.2306
2020-01-22	0.4636	0.3573
2020-01-23	0.1335	0.1777
2020-01-24	-0.3760	-0.2884
2020-01-25	0.1440	-0.3731
2020-01-26	0.1647	0.0250
2020-01-27	0.1851	-0.1314
2020-01-28	0.1444	0.3343
2020-01-29	0.1407	0.9901
2020-01-30	0.2507	-0.2051
2020-01-31	-0.0967	-0.4763
2020-02-02	0.4757	0.8796
2020-02-03	0.2386	0.0273
2020-02-04	0.3330	0.1771
2020-02-05	0.1794	-0.2577
2020-02-06	0.0372	-0.4759
